#Version: 1.0
#Software: 4D/20.7.0
#Date: 2025-04-08 15:08:39
#Remark: format ELF
#Fields: bytes_sent cs-cdns c-ip cs(cookie) cs(host) cs(referer) cs(user-agent) user method cs-sip sc-status cs-uri cs-uri-query cs-uri-stem date time time-taken
65205 127.0.0.1 127.0.0.1 "" "localhost:30080" "http://localhost:30080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0" - GET 127.0.0.1 200 /static/css/main.2d123307.css - /static/css/main.2d123307.css 2025-04-08 13:23:38 13:23:38 9
435859 127.0.0.1 127.0.0.1 "" "localhost:30080" "http://localhost:30080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0" - GET 127.0.0.1 200 /static/js/main.3bc670c7.js - /static/js/main.3bc670c7.js 2025-04-08 13:23:38 13:23:38 44
359434 127.0.0.1 127.0.0.1 "" "localhost:30080" "http://localhost:30080/static/css/main.2d123307.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0" - GET 127.0.0.1 200 /static/media/bg-vigne.ab9ca465bfe380c62ae7.jpeg - /static/media/bg-vigne.ab9ca465bfe380c62ae7.jpeg 2025-04-08 13:23:38 13:23:38 20
7614376 127.0.0.1 127.0.0.1 "" "localhost:30080" "" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0" - GET 127.0.0.1 200 /static/js/main.3bc670c7.js.map - /static/js/main.3bc670c7.js.map 2025-04-08 13:23:38 13:23:38 27
5347 127.0.0.1 127.0.0.1 "" "localhost:30080" "http://localhost:30080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0" - GET 127.0.0.1 200 /logo192.png - /logo192.png 2025-04-08 13:23:38 13:23:38 8
644 192.168.2.130 192.168.2.130 "" "192.168.2.130:30080" "" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0" - GET 192.168.2.130 200 / - / 2025-04-08 13:25:05 13:25:05 1
435859 192.168.2.130 192.168.2.130 "" "192.168.2.130:30080" "http://192.168.2.130:30080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0" - GET 192.168.2.130 200 /static/js/main.3bc670c7.js - /static/js/main.3bc670c7.js 2025-04-08 13:25:05 13:25:05 2
65205 192.168.2.130 192.168.2.130 "" "192.168.2.130:30080" "http://192.168.2.130:30080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0" - GET 192.168.2.130 200 /static/css/main.2d123307.css - /static/css/main.2d123307.css 2025-04-08 13:25:05 13:25:05 0
359434 192.168.2.130 192.168.2.130 "" "192.168.2.130:30080" "http://192.168.2.130:30080/static/css/main.2d123307.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0" - GET 192.168.2.130 200 /static/media/bg-vigne.ab9ca465bfe380c62ae7.jpeg - /static/media/bg-vigne.ab9ca465bfe380c62ae7.jpeg 2025-04-08 13:25:06 13:25:06 3
7614376 192.168.2.130 192.168.2.130 "" "192.168.2.130:30080" "" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0" - GET 192.168.2.130 200 /static/js/main.3bc670c7.js.map - /static/js/main.3bc670c7.js.map 2025-04-08 13:25:06 13:25:06 26
