274117	2025-05-19T15:50:29.502	14	14	6	2	Compiler_SVG		20		
274119	2025-05-19T15:50:29.532	14	14	7	1	1525		0	274118	2
274121	2025-05-19T15:50:29.532	14	14	7	1	1525		0	274120	0
274122	2025-05-19T15:50:29.532	14	14	7	2	SVG_SET_OPTIONS		20		
274124	2025-05-19T15:50:29.532	14	14	8	1	1525		0	274123	0
274126	2025-05-19T15:50:29.532	14	14	8	1	1525		0	274125	0
274128	2025-05-19T15:50:29.532	14	14	8	1	1525		0	274127	0
274130	2025-05-19T15:50:29.532	14	14	8	1	1525		0	274129	0
274132	2025-05-19T15:50:29.532	14	14	8	1	1131	Vrai;*Vrai;*	0	274131	0
274133	2025-05-19T15:50:29.532	14	14	7	2	SVG_SET_OPTIONS		20	274122	11
274134	2025-05-19T15:50:29.532	14	14	6	2	Compiler_SVG		20	274117	29831
274136	2025-05-19T15:50:29.532	14	14	6	1	222	n/a;0n/a;0	0	274135	1
274138	2025-05-19T15:50:29.532	14	14	6	1	1406	9 073 octets;n/a9 073 octets;n/a	0	274137	1
274140	2025-05-19T15:50:29.532	14	14	6	1	274	n/an/a	0	274139	0
274142	2025-05-19T15:50:29.532	14	14	6	1	1472	".heic";".svg";".png";".jpeg";".tiff";".gif";".bmp";".pdf";".emf"".heic";".svg";".png";".jpeg";".tiff";".gif";".bmp";".pdf";".emf"	0	274141	1
274144	2025-05-19T15:50:29.532	14	14	6	1	230	n/a;".heic"n/a;".heic"	0	274143	0
274146	2025-05-19T15:50:29.532	14	14	6	1	230	n/a;".svg"n/a;".svg"	0	274145	0
274148	2025-05-19T15:50:29.532	14	14	6	1	230	n/a;".png"n/a;".png"	0	274147	0
274149	2025-05-19T15:50:29.532	14	14	6	2	xml_referenceValid		20		
274151	2025-05-19T15:50:29.532	14	14	7	1	704		0	274150	0
274153	2025-05-19T15:50:29.532	14	14	7	1	155	"xml_noError""xml_noError"	0	274152	0
274155	2025-05-19T15:50:29.532	14	14	7	1	1053	"000000010E4745700000000164E5B608""000000010E4745700000000164E5B608"	0	274154	0
274157	2025-05-19T15:50:29.532	14	14	7	1	155	""""	0	274156	0
274158	2025-05-19T15:50:29.532	14	14	6	2	xml_referenceValid		20	274149	9
274160	2025-05-19T15:50:29.532	14	14	6	1	991	"error_badReference""error_badReference"	0	274159	1
274162	2025-05-19T15:50:29.532	14	14	6	1	1132	Vrai;""Vrai;""	0	274161	0
274164	2025-05-19T15:50:29.532	14	14	6	1	684		0	274163	0
274165	2025-05-19T15:50:29.532	14	14	6	2	Component_errorHandler		20		
274167	2025-05-19T15:50:29.532	14	14	7	1	1525		0	274166	0
274168	2025-05-19T15:50:29.532	14	14	6	2	Component_errorHandler		20	274165	9
274170	2025-05-19T15:50:29.532	14	14	6	1	356	9 073 octets9 073 octets	0	274169	0
274172	2025-05-19T15:50:29.532	14	14	6	1	457	9 073 octets;n/a;n/a9 073 octets;n/a;n/a	0	274171	0
274174	2025-05-19T15:50:29.532	14	14	6	1	692	9 073 octets;n/a;".png"9 073 octets;n/a;".png"	0	274173	4
274176	2025-05-19T15:50:29.532	14	14	6	1	895	n/a;n/an/a;n/a	0	274175	16
274178	2025-05-19T15:50:29.532	14	14	6	1	606	n/a;0n/a;0	0	274177	0
274180	2025-05-19T15:50:29.532	14	14	6	1	1053	"000000010E4745700000000164E5B608""000000010E4745700000000164E5B608"	0	274179	0
274182	2025-05-19T15:50:29.532	14	14	6	1	866	"000000010E4745700000000164E5B608";"xmlns:xlink";"http://www.w3.org/1999/xlink""000000010E4745700000000164E5B608";"xmlns:xlink";"http://www.w3.org/1999/xlink"	0	274181	3
274184	2025-05-19T15:50:29.532	14	14	6	1	233	".png";".";""".png";".";""	0	274183	0
274186	2025-05-19T15:50:29.532	14	14	6	1	865	"000000010E4745700000000164E5B608";"image";"xlink:href";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAIAAAACOCAYAAAD5NAC7AAAACXBIWXMAAAsTAAALEwEAmpwYAAAK...";"x";10;"y";2250;"width";128;"height";142"000000010E4745700000000164E5B608";"image";"xlink:href";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAIAAAACOCAYAAAD5NAC7AAAACXBIWXMAAAsTAAALEwEAmpwYAAAK...";"x";10;"y";2250;"width";128;"height";142	0	274185	15
274188	2025-05-19T15:50:29.532	14	14	6	1	1525		0	274187	0
274189	2025-05-19T15:50:29.532	14	14	5	2	SVG_New_embedded_image		20	274116	29976
